# Temperatura celda = 28.1º, Temperatura Laser = 23.926º, Frecuencia Rampa = 79.13 Hz, Amplitud = 76 mVpp, Offset = -4.9 mV, Error Mean = 45, Error std = 821, Xscale = 1020 us, Yscale = 1V 
t1 [us]      ,ch1 [V]     ,t2 [us]      ,ch2 [V]
5609.984,   -0.077, 5609.984,    0.034
5611.008,   -0.076, 5611.008,    0.034
5612.032,   -0.066, 5612.032,    0.033
5613.056,   -0.058, 5613.056,    0.032
5614.080,   -0.053, 5614.080,    0.032
5615.104,   -0.028, 5615.104,    0.030
5616.128,   -0.015, 5616.128,    0.029
5617.152,   -0.006, 5617.152,    0.029
5618.176,    0.006, 5618.176,    0.028
5619.200,    0.029, 5619.200,    0.026
5620.224,    0.045, 5620.224,    0.025
5621.248,    0.051, 5621.248,    0.025
5622.272,    0.063, 5622.272,    0.024
5623.296,    0.062, 5623.296,    0.024
5624.320,    0.072, 5624.320,    0.023
5625.344,    0.075, 5625.344,    0.023
5626.368,    0.085, 5626.368,    0.022
5627.392,    0.075, 5627.392,    0.023
5628.416,    0.071, 5628.416,    0.023
5629.440,    0.081, 5629.440,    0.022
5630.464,    0.070, 5630.464,    0.023
5631.488,    0.073, 5631.488,    0.023
5632.512,    0.053, 5632.512,    0.024
5633.536,    0.066, 5633.536,    0.024
5634.560,    0.051, 5634.560,    0.025
5635.584,    0.057, 5635.584,    0.024
5636.608,    0.051, 5636.608,    0.025
5637.632,    0.045, 5637.632,    0.025
5638.656,    0.051, 5638.656,    0.025
5639.680,    0.041, 5639.680,    0.025
5640.704,    0.035, 5640.704,    0.026
5641.728,    0.029, 5641.728,    0.026
5642.752,    0.035, 5642.752,    0.026
5643.776,    0.030, 5643.776,    0.026
5644.800,    0.027, 5644.800,    0.026
5645.824,    0.020, 5645.824,    0.027
5646.848,    0.016, 5646.848,    0.027
5647.872,    0.022, 5647.872,    0.027
5648.896,    0.011, 5648.896,    0.028
5649.920,    0.019, 5649.920,    0.027
5650.944,    0.005, 5650.944,    0.028
5651.968,    0.006, 5651.968,    0.028
5652.992,    0.005, 5652.992,    0.028
5654.016,   -0.002, 5654.016,    0.029
5655.040,   -0.004, 5655.040,    0.029
5656.064,   -0.003, 5656.064,    0.029
5657.088,   -0.004, 5657.088,    0.029
5658.112,   -0.012, 5658.112,    0.030
5659.136,   -0.012, 5659.136,    0.030
5660.160,   -0.016, 5660.160,    0.030
5661.184,   -0.019, 5661.184,    0.030
5662.208,   -0.016, 5662.208,    0.030
5663.232,   -0.017, 5663.232,    0.030
5664.256,   -0.023, 5664.256,    0.030
5665.280,   -0.017, 5665.280,    0.030
5666.304,   -0.026, 5666.304,    0.030
5667.328,   -0.022, 5667.328,    0.030
5668.352,   -0.025, 5668.352,    0.031
5669.376,   -0.025, 5669.376,    0.031
5670.400,   -0.028, 5670.400,    0.031
5671.424,   -0.030, 5671.424,    0.031
5672.448,   -0.029, 5672.448,    0.031
5673.472,   -0.025, 5673.472,    0.031
5674.496,   -0.027, 5674.496,    0.031
5675.520,   -0.026, 5675.520,    0.031
5676.544,   -0.027, 5676.544,    0.031
5677.568,   -0.027, 5677.568,    0.031
5678.592,   -0.024, 5678.592,    0.031
5679.616,   -0.026, 5679.616,    0.031
5680.640,   -0.030, 5680.640,    0.031
5681.664,   -0.027, 5681.664,    0.031
5682.688,   -0.024, 5682.688,    0.031
5683.712,   -0.025, 5683.712,    0.031
5684.736,   -0.029, 5684.736,    0.031
5685.760,   -0.023, 5685.760,    0.031
5686.784,   -0.022, 5686.784,    0.031
5687.808,   -0.024, 5687.808,    0.031
5688.832,   -0.025, 5688.832,    0.031
5689.856,   -0.025, 5689.856,    0.031
5690.880,   -0.027, 5690.880,    0.031
5691.904,   -0.030, 5691.904,    0.031
5692.928,   -0.027, 5692.928,    0.031
5693.952,   -0.027, 5693.952,    0.031
5694.976,   -0.027, 5694.976,    0.031
5696.000,   -0.035, 5696.000,    0.032
5697.024,   -0.033, 5697.024,    0.032
5698.048,   -0.036, 5698.048,    0.032
5699.072,   -0.034, 5699.072,    0.032
5700.096,   -0.041, 5700.096,    0.032
5701.120,   -0.037, 5701.120,    0.032
5702.144,   -0.038, 5702.144,    0.032
5703.168,   -0.041, 5703.168,    0.032
5704.192,   -0.070, 5704.192,    0.035
5705.216,   -0.044, 5705.216,    0.033
5706.240,   -0.047, 5706.240,    0.033
5707.264,   -0.052, 5707.264,    0.033
5708.288,   -0.055, 5708.288,    0.033
5709.312,   -0.061, 5709.312,    0.034
5710.336,   -0.063, 5710.336,    0.034
5711.360,   -0.075, 5711.360,    0.035
5712.384,   -0.075, 5712.384,    0.035
5713.408,   -0.081, 5713.408,    0.035
5714.432,   -0.079, 5714.432,    0.035
5715.456,   -0.091, 5715.456,    0.036
5716.480,   -0.094, 5716.480,    0.036
5717.504,   -0.111, 5717.504,    0.037
5718.528,   -0.107, 5718.528,    0.037
5719.552,   -0.121, 5719.552,    0.038
5720.576,   -0.118, 5720.576,    0.038
5721.600,   -0.150, 5721.600,    0.041
5722.624,   -0.148, 5722.624,    0.040
5723.648,   -0.174, 5723.648,    0.042
5724.672,   -0.180, 5724.672,    0.043
5725.696,   -0.207, 5725.696,    0.045
5726.720,   -0.199, 5726.720,    0.044
5727.744,   -0.223, 5727.744,    0.046
5728.768,   -0.223, 5728.768,    0.046
5729.792,   -0.274, 5729.792,    0.050
5730.816,   -0.267, 5730.816,    0.049
5731.840,   -0.300, 5731.840,    0.052
5732.864,   -0.249, 5732.864,    0.048
5733.888,   -0.328, 5733.888,    0.054
5734.912,   -0.264, 5734.912,    0.049
5735.936,   -0.282, 5735.936,    0.050
5736.960,   -0.232, 5736.960,    0.046
5737.984,   -0.203, 5737.984,    0.045
5739.008,   -0.143, 5739.008,    0.040
5740.032,   -0.093, 5740.032,    0.037
5741.056,   -0.041, 5741.056,    0.033
5742.080,    0.014, 5742.080,    0.029
5743.104,    0.080, 5743.104,    0.024
5744.128,    0.098, 5744.128,    0.023
5745.152,    0.205, 5745.152,    0.015
5746.176,    0.219, 5746.176,    0.014
5747.200,    0.295, 5747.200,    0.008
5748.224,    0.266, 5748.224,    0.011
5749.248,    0.313, 5749.248,    0.007
5750.272,    0.284, 5750.272,    0.009
5751.296,    0.311, 5751.296,    0.007
5752.320,    0.276, 5752.320,    0.010
5753.344,    0.196, 5753.344,    0.016
5754.368,    0.234, 5754.368,    0.013
5755.392,    0.222, 5755.392,    0.014
5756.416,    0.202, 5756.416,    0.015
5757.440,    0.175, 5757.440,    0.017
5758.464,    0.169, 5758.464,    0.018
5759.488,    0.153, 5759.488,    0.019
5760.512,    0.155, 5760.512,    0.019
5761.536,    0.118, 5761.536,    0.022
5762.560,    0.118, 5762.560,    0.021
5763.584,    0.115, 5763.584,    0.022
5764.608,    0.099, 5764.608,    0.023
5765.632,    0.086, 5765.632,    0.024
5766.656,    0.072, 5766.656,    0.025
5767.680,    0.088, 5767.680,    0.024
5768.704,    0.048, 5768.704,    0.027
5769.728,    0.051, 5769.728,    0.026
5770.752,    0.047, 5770.752,    0.027
5771.776,    0.033, 5771.776,    0.028
5772.800,    0.055, 5772.800,    0.027
5773.824,    0.030, 5773.824,    0.028
5774.848,    0.053, 5774.848,    0.027
5775.872,    0.013, 5775.872,    0.029
5776.896,    0.023, 5776.896,    0.028
5777.920,    0.008, 5777.920,    0.030
5778.944,    0.025, 5778.944,    0.029
5779.968,    0.008, 5779.968,    0.030
5780.992,    0.006, 5780.992,    0.030
5782.016,   -0.007, 5782.016,    0.031
5783.040,    0.001, 5783.040,    0.030
5784.064,   -0.006, 5784.064,    0.031
5785.088,    0.001, 5785.088,    0.030
5786.112,   -0.005, 5786.112,    0.031
5787.136,   -0.007, 5787.136,    0.031
5788.160,    0.000, 5788.160,    0.030
5789.184,   -0.007, 5789.184,    0.031
5790.208,    0.019, 5790.208,    0.029
5791.232,    0.001, 5791.232,    0.031
5792.256,    0.010, 5792.256,    0.030
5793.280,    0.001, 5793.280,    0.030
5794.304,    0.000, 5794.304,    0.030
5795.328,   -0.006, 5795.328,    0.031
5796.352,    0.004, 5796.352,    0.030
5797.376,    0.001, 5797.376,    0.030
5798.400,    0.003, 5798.400,    0.030
5799.424,    0.005, 5799.424,    0.030
5800.448,   -0.001, 5800.448,    0.031
5801.472,    0.025, 5801.472,    0.029
5802.496,    0.010, 5802.496,    0.030
5803.520,    0.010, 5803.520,    0.030
5804.544,    0.010, 5804.544,    0.030
5805.568,    0.012, 5805.568,    0.030
5806.592,    0.014, 5806.592,    0.030
5807.616,    0.014, 5807.616,    0.030
5808.640,    0.008, 5808.640,    0.030
5809.664,    0.007, 5809.664,    0.030
5810.689,    0.014, 5810.689,    0.030
5811.712,    0.017, 5811.712,    0.030
5812.736,    0.006, 5812.736,    0.030
5813.760,    0.008, 5813.760,    0.030
5814.784,    0.013, 5814.784,    0.030
5815.808,    0.015, 5815.808,    0.030
5816.832,    0.016, 5816.832,    0.030
5817.856,    0.008, 5817.856,    0.030
5818.880,    0.017, 5818.880,    0.030
5819.904,    0.015, 5819.904,    0.030
5820.928,    0.010, 5820.928,    0.030
5821.952,    0.012, 5821.952,    0.030
5822.976,    0.013, 5822.976,    0.030
5824.000,    0.009, 5824.000,    0.030
5825.024,    0.017, 5825.024,    0.030
5826.048,    0.017, 5826.048,    0.030
5827.072,    0.015, 5827.072,    0.030
5828.096,    0.013, 5828.096,    0.030
5829.120,    0.012, 5829.120,    0.030
5830.144,    0.018, 5830.144,    0.030
5831.168,    0.014, 5831.168,    0.030
5832.192,    0.012, 5832.192,    0.030
5833.216,    0.011, 5833.216,    0.030
5834.240,    0.009, 5834.240,    0.030
5835.264,    0.009, 5835.264,    0.030
5836.288,    0.007, 5836.288,    0.030
5837.312,    0.011, 5837.312,    0.030
5838.336,    0.009, 5838.336,    0.031
5839.360,    0.011, 5839.360,    0.030
5840.384,    0.006, 5840.384,    0.031
5841.408,    0.007, 5841.408,    0.031
5842.432,    0.005, 5842.432,    0.031
5843.456,    0.004, 5843.456,    0.031
5844.480,    0.006, 5844.480,    0.031
5845.504,    0.006, 5845.504,    0.031
5846.528,    0.004, 5846.528,    0.031
5847.552,    0.005, 5847.552,    0.031
5848.576,    0.007, 5848.576,    0.031
5849.600,    0.002, 5849.600,    0.031
5850.624,    0.002, 5850.624,    0.032
5851.648,   -0.001, 5851.648,    0.032
5852.672,    0.002, 5852.672,    0.031
5853.696,   -0.006, 5853.696,    0.032
5854.720,   -0.001, 5854.720,    0.032
5855.744,   -0.014, 5855.744,    0.032
5856.768,   -0.004, 5856.768,    0.032
5857.792,   -0.012, 5857.792,    0.032
5858.816,   -0.010, 5858.816,    0.032
5859.840,   -0.014, 5859.840,    0.032
5860.864,   -0.013, 5860.864,    0.033
5861.888,   -0.019, 5861.888,    0.033
5862.912,   -0.019, 5862.912,    0.033
5863.936,   -0.027, 5863.936,    0.033
5864.960,   -0.026, 5864.960,    0.034
5865.984,   -0.030, 5865.984,    0.034
5867.008,   -0.037, 5867.008,    0.034
5868.032,   -0.038, 5868.032,    0.034
5869.056,   -0.057, 5869.056,    0.036
5870.080,   -0.046, 5870.080,    0.035
5871.104,   -0.071, 5871.104,    0.037
5872.128,   -0.054, 5872.128,    0.036
5873.152,   -0.082, 5873.152,    0.038
5874.176,   -0.076, 5874.176,    0.037
5875.200,   -0.095, 5875.200,    0.039
5876.224,   -0.093, 5876.224,    0.038
5877.248,   -0.113, 5877.248,    0.040
5878.272,   -0.116, 5878.272,    0.040
5879.296,   -0.133, 5879.296,    0.041
5880.320,   -0.140, 5880.320,    0.042
5881.344,   -0.150, 5881.344,    0.043
5882.368,   -0.174, 5882.368,    0.045
5883.392,   -0.193, 5883.392,    0.046
5884.416,   -0.145, 5884.416,    0.043
5885.440,   -0.222, 5885.440,    0.048
5886.464,   -0.169, 5886.464,    0.044
5887.488,   -0.232, 5887.488,    0.049
5888.512,   -0.196, 5888.512,    0.046
5889.536,   -0.237, 5889.536,    0.049
5890.560,   -0.212, 5890.560,    0.047
5891.584,   -0.225, 5891.584,    0.048
5892.608,   -0.212, 5892.608,    0.047
5893.632,   -0.223, 5893.632,    0.048
5894.656,   -0.183, 5894.656,    0.045
5895.680,   -0.179, 5895.680,    0.045
5896.704,   -0.108, 5896.704,    0.040
5897.728,   -0.097, 5897.728,    0.039
5898.752,    0.063, 5898.752,    0.027
5899.776,    0.037, 5899.776,    0.030
5900.800,    0.054, 5900.800,    0.028
5901.824,    0.148, 5901.824,    0.021
5902.848,    0.183, 5902.848,    0.019
5903.872,    0.267, 5903.872,    0.013
5904.896,    0.328, 5904.896,    0.008
5905.920,    0.389, 5905.920,    0.004
5906.944,    0.444, 5906.944,   -0.000
5907.968,    0.419, 5907.968,    0.002
5908.992,    0.551, 5908.992,   -0.008
5910.016,    0.553, 5910.016,   -0.008
5911.040,    0.596, 5911.040,   -0.011
5912.064,    0.569, 5912.064,   -0.009
5913.088,    0.615, 5913.088,   -0.013
5914.112,    0.588, 5914.112,   -0.011
5915.136,    0.503, 5915.136,   -0.006
5916.160,    0.598, 5916.160,   -0.011
5917.184,    0.431, 5917.184,    0.001
5918.208,    0.567, 5918.208,   -0.009
5919.232,    0.456, 5919.232,   -0.000
5920.256,    0.508, 5920.256,   -0.004
5921.280,    0.486, 5921.280,   -0.003
5922.304,    0.556, 5922.304,   -0.008
5923.328,    0.509, 5923.328,   -0.005
5924.352,    0.540, 5924.352,   -0.007
5925.376,    0.497, 5925.376,   -0.003
5926.400,    0.541, 5926.400,   -0.007
5927.424,    0.536, 5927.424,   -0.006
5928.448,    0.553, 5928.448,   -0.008
5929.472,    0.537, 5929.472,   -0.007
5930.496,    0.483, 5930.496,   -0.004
5931.520,    0.473, 5931.520,   -0.002
5932.544,    0.421, 5932.544,    0.002
5933.568,    0.539, 5933.568,   -0.007
5934.592,    0.445, 5934.592,    0.001
5935.616,    0.544, 5935.616,   -0.007
5936.640,    0.481, 5936.640,   -0.002
5937.664,    0.545, 5937.664,   -0.007
5938.688,    0.493, 5938.688,   -0.003
5939.712,    0.551, 5939.712,   -0.008
5940.736,    0.460, 5940.736,   -0.001
5941.760,    0.495, 5941.760,   -0.003
5942.784,    0.467, 5942.784,   -0.001
5943.808,    0.463, 5943.808,   -0.001
5944.832,    0.455, 5944.832,   -0.000
5945.856,    0.425, 5945.856,    0.001
5946.880,    0.409, 5946.880,    0.003
5947.904,    0.245, 5947.904,    0.015
5948.928,    0.385, 5948.928,    0.005
5949.952,    0.265, 5949.952,    0.014
5950.976,    0.319, 5950.976,    0.009
5952.000,    0.268, 5952.000,    0.013
5953.024,    0.277, 5953.024,    0.013
5954.048,    0.223, 5954.048,    0.017
5955.072,    0.203, 5955.072,    0.018
5956.096,    0.191, 5956.096,    0.019
5957.120,    0.163, 5957.120,    0.021
5958.144,    0.150, 5958.144,    0.022
5959.168,    0.128, 5959.168,    0.023
5960.192,    0.108, 5960.192,    0.025
5961.216,    0.104, 5961.216,    0.025
5962.240,    0.088, 5962.240,    0.027
5963.264,    0.111, 5963.264,    0.025
5964.288,    0.074, 5964.288,    0.028
5965.312,    0.066, 5965.312,    0.028
5966.336,    0.051, 5966.336,    0.029
5967.360,    0.079, 5967.360,    0.027
5968.384,    0.055, 5968.384,    0.029
5969.408,    0.054, 5969.408,    0.029
5970.432,    0.037, 5970.432,    0.030
5971.456,    0.058, 5971.456,    0.029
5972.480,    0.049, 5972.480,    0.029
5973.504,    0.070, 5973.504,    0.028
5974.528,    0.057, 5974.528,    0.029
5975.552,    0.076, 5975.552,    0.028
5976.576,    0.106, 5976.576,    0.025
5977.600,    0.117, 5977.600,    0.024
5978.624,    0.115, 5978.624,    0.025
5979.648,    0.132, 5979.648,    0.024
5980.672,    0.156, 5980.672,    0.022
5981.696,    0.159, 5981.696,    0.022
